modelica.stopTime,modelica.jturbine,modelica.ratio,modelica.rho,tl_peakPowerOutput.output,tl_integratedEnergy.output
'2678400',102553735.691,114.936400338,1.14564313457,922330787.84308743,1793064630578.9485
'2678400',137355629.733,98.2505579731,1.01217613627,655382923.43482995,1655022990814.377
'2678400',12636799.3218,98.2107547841,1.15784970954,2720868443.4689837,1805013790838.3606
'2678400',79411499.9839,118.518696778,1.4233351497,1331060059.4609549,2038914064872.7104
'2678400',99445261.0434,92.218829434,1.47421568847,1059369046.4770904,2083586483266.3347
'2678400',45298916.3302,102.584490591,1.3113523688,1567815653.1745281,1940322024193.353
'2678400',55906188.9679,104.009343761,1.19256457958,1270480499.0129335,1835135274453.4834
'2678400',44700428.2484,106.259635892,1.14749473977,1427510826.4357848,1795429678302.2781
'2678400',49230344.3156,82.4734897462,1.36962976353,1352417213.5961885,1991774224211.4072
'2678400',37710094.4918,100.476759264,1.37879736348,1805253285.8785419,2000067058930.1355
'2678400',92639106.35,80.1684681542,1.3285699673,919233777.00054431,1954862325533.9758
'2678400',37963630.0825,104.719058155,1.46545126371,1918988363.5473831,2076699091749.9697
'2678400',53105961.681,108.863948666,1.00628777538,1141310582.6749389,1649382969266.6592
'2678400',77977951.2206,94.6383973161,1.48481433834,1220985902.1436977,2093251178798.804
'2678400',38675100.765,106.241319719,1.18360382999,1646371140.097913,1827441337629.6531
'2678400',41623842.5597,94.0377746929,1.32189880077,1585490896.592591,1949689403099.3188
'2678400',42160319.3301,104.660132141,1.27758362326,1648423828.1639233,1910503579768.3396
'2678400',144284327.286,95.7838571955,1.07427577757,669420883.84274232,1725319559891.6548
'2678400',144625050.46,87.8742768162,1.42437466859,834172396.89057505,2038927782713.7451
'2678400',71401410.9184,86.8370960439,1.42404448288,1171202089.618618,2039586632734.9202
'2678400',63577373.696,101.992846162,1.06232083587,1041673664.9237983,1712757555406.6624
'2678400',44287025.2766,81.2307229702,1.37926111395,1423582193.7164361,2000198439190.3535
'2678400',120391113.385,103.606002573,1.21202785335,850281552.3865099,1851532702879.8599
'2678400',146538732.588,94.9601933336,1.11581918015,685322315.02249169,1766140171423.3525
'2678400',127754358.605,107.671246271,1.08286670671,758856990.01736724,1735276129656.2021
'2678400',57725134.1207,82.0429224939,1.23551932662,1112778225.8541722,1873060827359.5527
'2678400',116166018.744,111.742087375,1.32945737604,981189285.76174724,1955429430923.6179
'2678400',164037850.357,102.115345713,1.07264628401,650769110.44643462,1723261975314.0605
'2678400',115426333.488,116.199518395,1.11446589258,854923270.34538186,1765349331140.759
'2678400',34531702.268,80.9608202026,1.37573709176,1653958308.1093891,1997202407150.8872
'2678400',127757177.189,111.926700536,1.39380795178,986557227.14598942,2012190550637.7913
'2678400',115687772.367,81.4197884624,1.47251801114,921646548.93339622,2076939453446.3269
